Vendor_Code,Price_Date,Exchange_Code,Price_Type,Security_Id,Price_Variation_Pct,Abs_Price_Variation_Pct,Outlier_Category
Bloomberg,2023-10-29,NYC,Ask,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-10-29,STO,Bid,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-10-29,TOK,Bid,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-10-29,TOR,Ask,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-10-31,NYC,Close,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-10-31,OSL,Open,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-10-31,TOK,Bid,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-10-31,TOK,Close,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-10-31,TOK,Open,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-10-31,TOR,Open,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-01,AMS,Ask,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-02,NYC,Bid,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-02,STO,Open,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-02,TOR,Close,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-02,TOR,Open,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-03,AMS,Open,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-03,LON,Ask,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-03,LON,Open,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-03,TOK,Close,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-03,TOR,Close,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-04,OSL,Ask,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-05,NYC,Close,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-05,ZUR,Close,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-06,AMS,Ask,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-06,STO,Close,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-06,TOK,Close,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-07,FRA,Open,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-07,NYC,Close,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-07,STO,Ask,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-07,TOR,Open,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-08,SYD,Bid,1,0.0,0.0,[1 0 0 0]
Bloomberg,2023-11-09,FRA,Ask,1,0.0,0.0,[1 0 0 0]
